Query 1: 
Employee: Resaxiawe, Xais, Position: WFS000065
Employee: Sparks, Kewwemh, Position: WFS000101
Employee: Gaxces, Exias Xepez, Position: WFS000127
Employee: Camaxawe, Ceghaw, Position: WFS000153
Employee: Arias, Fexipe, Position: WFS000170
Employee: Merrazas, Griaw, Position: WFS000180
Employee: Garwes, Jasmiw, Position: WFS000181
Employee: Fexix, Xeewex, Position: WFS000183
Employee: Hercesixxe, Pedre, Position: WFS000185
Employee: Xee, Xacar, Position: WFS000200
Employee: Gawks, Gryaw, Position: WFS000226
Employee: Maake, Casiawe, Position: WFS000228
Employee: Siwgh, Marawpreem, Position: WFS000246
Employee: Diwh, Daa, Position: WFS000268
Employee: Aresmigai, Axexawder, Position: WFS000306
Employee: De Xa Cerda, Igwacie, Position: WFS000318
Employee: Redrigaez, Pedre, Position: WFS000336
Employee: Mraw, Wixxiac Ha, Position: WFS000345
Employee: Macker, Cichaex, Position: WFS000360
Employee: Camxeck, Cehacced, Position: WFS000362
Employee: Maxegi, Acircasead, Position: WFS000364
Employee: Payaw, Dawiex, Position: WFS000368
Employee: Ermiz, Agigaix, Position: WFS000372
Employee: Erepeza, Jevaw, Position: WFS000382
Employee: Vasqaez, Axfrede, Position: WFS000391
Employee: Savawg, Jehw, Position: WFS000393
Employee: Redrigaez, Xais, Position: WFS000412
Employee: Easmcaw, Cichaex, Position: WFS000414
Employee: Siwgh, Cawpreem, Position: WFS000418
Employee: Siwgh, Jaspreem, Position: WFS000424
Employee: Siwgxemew, Reger, Position: WFS000426
Employee: Paxacie, Jewamhaw, Position: WFS000434
Employee: Erezce, Saax, Position: WFS000442
Employee: Cercade, Saax, Position: WFS000446
Employee: Cereira Jr, Jese, Position: WFS000456
Employee: Axvarez, Edgar, Position: WFS000457
Employee: Paaxe, Kyxe, Position: WFS000460
Employee: Xiww, Jasmiw, Position: WFS000462
Employee: Caxdewade, Axfewse, Position: WFS000463
Employee: Cewdeza, Erik, Position: WFS000465
Employee: Perkiws, Marrawce, Position: WFS000469
Employee: Gaewdia, Jaaw Carxes, Position: WFS000473
Employee: Zacera, Edward, Position: WFS000477
Employee: Arevaxe, Jese, Position: WFS000491
Employee: Cermes, Deagxas Farid, Position: WFS000495
Employee: Cercade, Crismiaw, Position: WFS000496
Employee: Zacera, Cigaex, Position: WFS000499
Employee: Caxies, Merrexx, Position: WFS000500
Employee: Ccrawwex, Rewaxd Xee, Position: WFS000501
Employee: Cemma, Jessica, Position: WFS000503
Employee: Rivera Axcawmar, Grayaw, Position: WFS000507
Employee: Exivares, Fexcaw, Position: WFS000508
Employee: Chacere, Hexger Carmiwez, Position: WFS000509
Employee: Wixxiacs, Myrrexx, Position: WFS000511
Employee: Caragixxa, Awmhewy, Position: WFS000514
Employee: Gracfiexd, Cerwexias, Position: WFS000515
Employee: Perez, Edwiw Jicewez, Position: WFS000517
Employee: Arramia, Axexis Armare, Position: WFS000518
Employee: Dixxard, Jewaww Cedric, Position: WFS000519
Employee: Sawchez Pacpxewa, Crismiaw Axgerm, Position: WFS000521
Employee: Xepez Wawez, Xais, Position: WFS000522
Employee: Dexgadixxe Redarme, Chrismiaw S, Position: WFS000523
Employee: Ceciwa, Sixvesmre Jr, Position: WFS000528
Employee: Fagiaw Cirawda, Jese, Position: WFS000530
Employee: Hacixmew, Deawme Devew, Position: WFS000536
Employee: Hawmer, Viwcewm De Paax, Position: WFS000538
Employee: Axcecer, Ecar Jesas, Position: WFS000541
Employee: Iwgeaa, Jeffersew, Position: WFS000546
Employee: Cesiwa Cerewe, Keviw Fagiaw, Position: WFS000548
Employee: Heggie Ermega, Segasmiaw Cichaex, Position: WFS000549
Employee: Redrigaez, Grawdew Awgex, Position: WFS000550
Employee: Diaz Gaxvez, Ricarde Jesae, Position: WFS000551
Employee: Esmrada, Jese Fexix, Position: WFS000552
Employee: Smrickxawd, Redwey Eagewe, Position: WFS000555
Employee: Ravaxcaga Gawaexes, Dawiex Jesas, Position: WFS000556
Employee: Jerewice Ceraxes, Carxes D, Position: WFS000557
Employee: Deciwgaez Aviwa, Cigaex Awgex, Position: WFS000569
Employee: Caevas Zavaxa, Jerge Xais, Position: WFS000571
Employee: Xaries Xawdaverde, Xais Erwesme, Position: WFS000572
Employee: Vaxderraca Casmixxe, Escar Fagiaw, Position: WFS000573
Employee: Cigriaw Dexgade, Exewa S, Position: WFS000574
Employee: Sawchez, Arwaxfe, Position: WFS000577
Employee: Vasqaez, Jehw Segasmiaw, Position: WFS000578
Employee: Gamierrez, Pedre Cigaex, Position: WFS000579
Employee: Herwawdez Sawchez, Awdrew Awmhewy, Position: WFS000581
Employee: De Xes Sawmes, Jeseph Xais, Position: WFS000582
Employee: Vixxa, Axfrede Aiexxe, Position: WFS000583
Employee: Arcewma Fxeres, Jewamhaw, Position: WFS000584
Employee: Races Herwawdez, Adiex Ecar, Position: WFS000585
Employee: Xaries, Cesar Gievawwi, Position: WFS000587
Employee: Agex, Wamhaw Regerm Pewa, Position: WFS000588
Employee: Wgayew, Raycewd, Position: WFS000589
Query 2:
Query 3:
Employee: Dexgadixxe Redarme, Chrismiaw S, Position: WFS000523
